,Volatility
LULU_Return,0.026174215412388836
FTNT_Return,0.02614692592791725
MOS_Return,0.0260187492073308
DAL_Return,0.025861122249859644
PODD_Return,0.02580147749847524
FIX_Return,0.02575785029345181
INCY_Return,0.025690776249699024
LRCX_Return,0.025584160229683864
WBD_Return,0.025507760340796864
VEEV_Return,0.025252657029726875
TPR_Return,0.025190183212908307
FLEX_Return,0.025175739139818513
WSM_Return,0.025109889122633056
META_Return,0.02509479024012896
HWM_Return,0.024950396210047375
PANW_Return,0.02486775042525214
CF_Return,0.02470355101675047
WDAY_Return,0.02469690413555893
MPC_Return,0.024686927584828655
BBY_Return,0.02465507609237032
PHM_Return,0.024528805622273258
LVS_Return,0.02443644167042417
VLO_Return,0.02443408278871166
DOW_Return,0.024325107630679264
PYPL_Return,0.024319803098356737
AMAT_Return,0.024245731961078303
ULTA_Return,0.024230301761391158
TKO_Return,0.024145799553989898
AVGO_Return,0.024143203146497753
BIIB_Return,0.024105323271385676
CNC_Return,0.0240904142623241
INTC_Return,0.023966386838868283
KLAC_Return,0.02396183791517314
REGN_Return,0.023900917025395676
HPE_Return,0.023895661275212577
STLD_Return,0.02387132664952691
BKR_Return,0.023796901517280932
SYF_Return,0.02364647055752523
CARR_Return,0.02361148098780074
LYV_Return,0.023503402312553573
NRG_Return,0.023502874553820927
LEN_Return,0.02348342485812399
JBL_Return,0.023446527927642728
AKAM_Return,0.02343555369994604
EOG_Return,0.02333606151294329
APTV_Return,0.02331596903186982
ZBRA_Return,0.023155201268836943
WMB_Return,0.023128057353000105
OKE_Return,0.023111278203086654
IVZ_Return,0.023108121513266196
CFG_Return,0.023063051376809668
KEY_Return,0.023026239967389218
GDDY_Return,0.02300107164399279
RF_Return,0.022955851107827708
CRM_Return,0.02291555728695987
MCHP_Return,0.022909242106403594
SLB_Return,0.022889833392438462
NEM_Return,0.022871425333311837
APO_Return,0.02281667035974267
DHI_Return,0.022747577833623793
LYB_Return,0.022625369770373428
RL_Return,0.022613468882073526
BA_Return,0.022564637578134917
FICO_Return,0.022551361725719442
ADSK_Return,0.022463750476492635
KKR_Return,0.022361516918683856
ARES_Return,0.022277701296401595
BX_Return,0.022168885605014035
QCOM_Return,0.02207433978625071
CMG_Return,0.021947966389091123
TTWO_Return,0.02190970361001144
VTRS_Return,0.02186688773595016
HPQ_Return,0.021839686604381067
EXE_Return,0.021784479808692598
NTAP_Return,0.021778627334558084
LUV_Return,0.021716663696048532
GM_Return,0.021700073368413942
F_Return,0.021684572355631617
TMUS_Return,0.021666678373470295
IR_Return,0.02166275791527703
CRL_Return,0.021649327939846464
FITB_Return,0.02161164363279864
COF_Return,0.021554398856996886
CBRE_Return,0.02143936105575966
TRMB_Return,0.02134857568677614
FFIV_Return,0.021337139671062936
TXT_Return,0.02128251052670837
C_Return,0.021254455807258585
COP_Return,0.021207972608184352
MS_Return,0.021199043666118283
PSX_Return,0.021137632686179585
HBAN_Return,0.021080376758776012
GLW_Return,0.021053595912093805
PWR_Return,0.021049685977237564
AIG_Return,0.021016874080605378
SWK_Return,0.020910367767378844
AES_Return,0.02088174125057314
HCA_Return,0.02083682085549808
PTC_Return,0.020815051846636803
BKNG_Return,0.02075432673395355
BAC_Return,0.020746834320965527
EL_Return,0.020670047527659222
AMZN_Return,0.020645716881888765
FOXA_Return,0.02063217301582888
GEHC_Return,0.020619719248849425
DLTR_Return,0.020613091606586732
UHS_Return,0.020610442909450064
MAS_Return,0.020558812617121232
HST_Return,0.02055757026678036
CRH_Return,0.020529300988086252
NUE_Return,0.020470239103473342
CTVA_Return,0.020467909307918756
ADBE_Return,0.02043607180569435
AMP_Return,0.0203792817311819
HUM_Return,0.02033867537365154
ISRG_Return,0.02030365053043173
SCHW_Return,0.02027168651272712
EW_Return,0.020258555103947855
KEYS_Return,0.020142877742632844
SOLV_Return,0.020119601761437254
SPG_Return,0.020100732262178428
DRI_Return,0.020061825976236514
CHTR_Return,0.020052255722419657
FOX_Return,0.0200127001427055
CSGP_Return,0.01997801959485393
CDNS_Return,0.019954497205929785
ORCL_Return,0.019936758536271002
IP_Return,0.019929755210153145
GPN_Return,0.01989757695842914
GE_Return,0.019890325416029194
ODFL_Return,0.01986629658712116
PFG_Return,0.019819090849711753
VMC_Return,0.019817030820578632
CPAY_Return,0.019793473008756484
DD_Return,0.01972850580457141
GEN_Return,0.019667791110489823
EA_Return,0.019646753148799826
VTR_Return,0.019633633798321552
PRU_Return,0.01962448332640217
HIG_Return,0.019528016205930077
STT_Return,0.019518848656353765
EME_Return,0.019480249275833795
BEN_Return,0.019384241470633085
KIM_Return,0.019331919841780475
INTU_Return,0.019308881070779178
IBKR_Return,0.019299869050671322
TFC_Return,0.019271057199295148
WST_Return,0.019268693724343398
ROK_Return,0.01925973348433965
EBAY_Return,0.01925957853190677
MAR_Return,0.019253906308053105
TDG_Return,0.01923212698089861
MET_Return,0.019225864339540204
HAS_Return,0.019218985245925902
MNST_Return,0.01915869623603461
ADI_Return,0.01911055837522974
IT_Return,0.0190534160368529
MLM_Return,0.019044085083613514
MSCI_Return,0.019042458430578692
IDXX_Return,0.01902562400013715
WY_Return,0.01901214628488866
RJF_Return,0.018974529391157367
TECH_Return,0.01896362191741588
FDX_Return,0.018940370273665633
DVA_Return,0.018937819361256856
SNPS_Return,0.018924403587237928
PH_Return,0.018914019018965854
RMD_Return,0.018900609907107582
CMI_Return,0.01881966995285423
DPZ_Return,0.018815264249964818
WAB_Return,0.01880390378801162
IQV_Return,0.0187972961694486
WFC_Return,0.018779159350349458
CAT_Return,0.01876623875223683
MTB_Return,0.018743058508512947
CDW_Return,0.018708274430002995
CTSH_Return,0.018595556561219403
DG_Return,0.01850286375509589
VICI_Return,0.01849548595827561
TYL_Return,0.018463009046902804
NKE_Return,0.018455580343871077
ETN_Return,0.018430802161029543
TSCO_Return,0.018372233815486333
NDSN_Return,0.01836974872098678
BG_Return,0.018353723026051198
AXP_Return,0.018342603317377616
ELV_Return,0.01831343611927035
A_Return,0.01829255880904527
GS_Return,0.018289909243466906
TXN_Return,0.01828593802382401
RVTY_Return,0.018264621703620858
EQIX_Return,0.018260680324500296
CI_Return,0.018249423927963155
TGT_Return,0.018214056385197148
BSX_Return,0.018186591545299856
STZ_Return,0.01817966671205422
HII_Return,0.018176491164733258
PNR_Return,0.018168893606570827
ROST_Return,0.01814193859442962
NVR_Return,0.018109482750208943
IRM_Return,0.018086718220195985
LII_Return,0.01807729918170578
NWSA_Return,0.01801684925920217
BXP_Return,0.018016597047998094
MCO_Return,0.018012177310063684
NWS_Return,0.017984796946094592
TROW_Return,0.017980514636031855
WAT_Return,0.017970961911700303
KVUE_Return,0.017943230555831195
KMI_Return,0.01793655759934869
GRMN_Return,0.01791205498898268
DE_Return,0.017861286135792326
WELL_Return,0.017837287749536072
GL_Return,0.01782635227230425
DHR_Return,0.01782618994735322
MTD_Return,0.017751525318957403
AAPL_Return,0.017713884618098818
J_Return,0.017711598040409077
NTRS_Return,0.01769167145553323
HLT_Return,0.017688139552407698
EFX_Return,0.017676293893920402
SBUX_Return,0.017630176123832983
PNC_Return,0.01758887917078828
GOOGL_Return,0.017546084550814422
UNH_Return,0.017545319048439572
GOOG_Return,0.01753087244556279
TSN_Return,0.01748891634617599
DOC_Return,0.01746590152801503
CASY_Return,0.01743307368546712
TT_Return,0.017423302782129047
FISV_Return,0.017413832209522164
USB_Return,0.017394269995090316
BLK_Return,0.017388228739074307
PKG_Return,0.01737724340830595
JBHT_Return,0.017341928679301167
GILD_Return,0.017318277112063026
JPM_Return,0.01730806884442665
REG_Return,0.017282708884971534
LOW_Return,0.01725874428243435
IFF_Return,0.017239528624356737
CSX_Return,0.017236870707885914
LDOS_Return,0.017216798459416812
FIS_Return,0.01720957158331265
COO_Return,0.017206656037959324
AOS_Return,0.01714665514672245
TEL_Return,0.01713513953096998
EMR_Return,0.017130977333275493
PLD_Return,0.017116415998411513
APH_Return,0.017078915468181195
ARE_Return,0.017034289026959148
HUBB_Return,0.017015917619310584
MA_Return,0.01699623308543117
DLR_Return,0.016965435734897574
KHC_Return,0.016950875338197093
AVY_Return,0.01691869258192624
CHRW_Return,0.016892070038354648
NSC_Return,0.016863496020550445
BNY_Return,0.016844583027866
PCAR_Return,0.016838129203154594
DOV_Return,0.016827054774260324
LLY_Return,0.016779698034651187
CVX_Return,0.016761650277237077
FAST_Return,0.016736458038437874
ZTS_Return,0.016712158070828244
TDY_Return,0.01670664621789444
CAH_Return,0.016679267973351643
FTV_Return,0.016669309634137156
MCK_Return,0.01666387931489449
TAP_Return,0.016619481966856565
DIS_Return,0.01661942803394658
ABBV_Return,0.016618274106202185
GWW_Return,0.01659847960167565
CSCO_Return,0.01657290806906293
FDS_Return,0.01655817919919141
ERIE_Return,0.016552234956849328
BAX_Return,0.016531960270453748
XYL_Return,0.01651599170220684
ZBH_Return,0.016508634827686417
ADM_Return,0.016460808636750514
VRSN_Return,0.016450839827212623
KR_Return,0.016449364443005026
ALLE_Return,0.016432893718393914
OMC_Return,0.016406966663883155
AFL_Return,0.016390367833321644
PPG_Return,0.016378344203372974
EXR_Return,0.016371173491755528
SYY_Return,0.016367258502106928
SBAC_Return,0.016367026544267797
JCI_Return,0.01636029849314389
CVS_Return,0.01631192724318732
ACN_Return,0.016309248790275524
FRT_Return,0.01630703949896827
MSFT_Return,0.01624890271739967
SNA_Return,0.016223046562743787
AIZ_Return,0.01615861183914826
SPGI_Return,0.016153553748457346
BALL_Return,0.016106961517417355
GPC_Return,0.016098747933856333
CPRT_Return,0.016080862094262363
CINF_Return,0.016042581718213295
INVH_Return,0.0160369492136427
TMO_Return,0.016013495429578778
NDAQ_Return,0.015964792958168692
OTIS_Return,0.015952422709273786
AMCR_Return,0.015939061709513872
LHX_Return,0.015881294849349237
CBOE_Return,0.015832929139117942
ORLY_Return,0.01583219490143812
BF-B_Return,0.015810587248536262
RTX_Return,0.015800182198442758
XOM_Return,0.01576773920611148
CMCSA_Return,0.015730445122744637
IBM_Return,0.015713828304948368
EXPD_Return,0.01569952900870496
SHW_Return,0.01565792560871817
STE_Return,0.015644202274092193
V_Return,0.01564122823084622
UNP_Return,0.015585621173752387
UDR_Return,0.015563279515642375
COR_Return,0.015556734154328447
MSI_Return,0.015553379666332457
CTAS_Return,0.015514765001562137
ROL_Return,0.015485189834335151
HSIC_Return,0.015484523501843386
EIX_Return,0.015456275936353169
AMGN_Return,0.015437580553271112
APD_Return,0.015419379440112629
CME_Return,0.015417057466194817
AMT_Return,0.015395058496281418
TJX_Return,0.015372846254042527
EG_Return,0.015322749468559872
SYK_Return,0.015310997771200997
ESS_Return,0.015304799328619185
UPS_Return,0.01530387064786241
AME_Return,0.015299720563620164
LH_Return,0.015269356336144124
EQR_Return,0.015243510654237515
CCI_Return,0.015240427975438158
IEX_Return,0.015073950450350652
MMM_Return,0.015027866577825486
O_Return,0.015022382486943727
CPT_Return,0.015000225183798755
AVB_Return,0.014998768180962995
BMY_Return,0.014984681656746497
CNP_Return,0.014980413618413435
ACGL_Return,0.014951661444713753
YUM_Return,0.014895133562541714
ALL_Return,0.014889369440009192
AZO_Return,0.014881916382474996
NOC_Return,0.014803476849126355
ICE_Return,0.01479706455969271
HD_Return,0.014715513403658613
FE_Return,0.014655365121939006
HON_Return,0.014632124210728764
ECL_Return,0.01462669184082565
L_Return,0.01454783117264623
ITW_Return,0.014494993670156626
DGX_Return,0.014488815416140128
MAA_Return,0.014468094605775658
ROP_Return,0.01443903753206788
VLTO_Return,0.014399996926772827
PGR_Return,0.01439531705986348
VRSK_Return,0.014365167715240898
WTW_Return,0.014351085495357423
PAYX_Return,0.014293621652161062
BR_Return,0.014246606555617908
EXC_Return,0.014152282637629549
MDT_Return,0.014140042431109778
KDP_Return,0.014136268210987055
BRO_Return,0.01413201836127146
PSA_Return,0.014102956342014906
NEE_Return,0.01409861631470888
TRV_Return,0.01407738664633667
JKHY_Return,0.014018208476989018
SJM_Return,0.01399900532262215
SRE_Return,0.013997199845064291
AON_Return,0.013966411903053278
GD_Return,0.013915079573382675
PM_Return,0.013911442649635883
WRB_Return,0.013883019092032458
PFE_Return,0.01387926243525719
ADP_Return,0.013872992136654261
CB_Return,0.013821882337267099
ABT_Return,0.013796808602661904
ETR_Return,0.01378750521648886
ES_Return,0.01375095412333764
LMT_Return,0.013687741066853557
NI_Return,0.013681821077608148
MRK_Return,0.013668343676321646
CLX_Return,0.013667347282898189
AWK_Return,0.013641630505096203
MKC_Return,0.01358737613493458
HRL_Return,0.013581348457234032
BDX_Return,0.013435362826383468
HSY_Return,0.013426055999258243
AJG_Return,0.013361092060984417
LIN_Return,0.01333424208514869
D_Return,0.013211445125683141
T_Return,0.01319846712037815
PEG_Return,0.013098957503125131
PPL_Return,0.013092914197443219
EVRG_Return,0.012980184408171305
PNW_Return,0.012972255878071895
AEE_Return,0.012916513598129715
MO_Return,0.012873420797493661
COST_Return,0.01280690364496529
MDLZ_Return,0.012785476642682642
DTE_Return,0.012766160172912624
MRSH_Return,0.01270143143387265
ATO_Return,0.01266959644306706
CHD_Return,0.012655980399268801
WMT_Return,0.01251718231991613
GIS_Return,0.01249761695145106
WEC_Return,0.012452989271878736
LNT_Return,0.0124503951104777
XEL_Return,0.012298997932950452
CMS_Return,0.012255057742846869
AEP_Return,0.01223598467310727
BRK-B_Return,0.01214093939694398
SO_Return,0.012056347926512624
VZ_Return,0.01197806088407119
RSG_Return,0.011955524307341982
KMB_Return,0.011950334178651295
ED_Return,0.011873856927843325
WM_Return,0.011832859685674952
MCD_Return,0.011723392670772905
DUK_Return,0.011640386592755882
CL_Return,0.01157833387005099
PEP_Return,0.011212902229246107
PG_Return,0.010957599570317177
KO_Return,0.010811436054170228
JNJ_Return,0.01073276095593159
